id,category,X1,X2,X3,X4,X5,target
0,4,7.719695622659423,7.225325997191557,6.591902948783412,9.833928159056354,7.50340199211089,69.04172938009263
1,4,5.663814338664215,6.6552945612545455,10.396427395762991,11.092168872503098,8.20924415281019,79.5483995517649
2,3,7.9105700447135545,8.70575593935369,9.554958200544851,8.416180719654328,6.257778732805732,-71.0087002802517
3,4,8.48086119691076,6.8838856973102605,8.928047988127409,9.050283731391492,5.415433048204784,-11.776024325387864
4,5,5.965807024955307,7.127755797460994,8.12677772414283,10.26599642037142,7.239031739286577,0.2720578974601089
5,3,7.6833786626816325,7.809816780930124,9.17386414711394,9.646949742773229,5.465982943021843,2.2374675621375557
6,1,7.001697912682968,7.918166332584157,8.503891626398895,9.615718700159006,6.555067242558404,-11.709477255362948
7,2,6.124149851310752,6.904241832557455,8.504699922037675,8.02262990303518,6.924739983493685,-200.95166705325101
8,1,8.26140159537273,9.414323105745494,8.217415046625613,10.39157536796933,4.7672425976082415,92.5949502945718
9,1,6.338424839858333,7.636422749514764,8.743899160454228,8.25762085919409,5.3330165679790795,-203.53911334355232
10,1,6.713508350975652,8.731187400059685,10.252011789337123,7.95248324045024,4.770913751153447,-218.2165116289833
11,2,7.000536114799205,8.032575265830054,7.663881296474614,9.81706887444978,6.24052762710371,-1.1233800632488231
12,4,7.757777298086791,8.154612382038634,9.627178949575582,9.43548774136153,7.539043064754213,41.083175303485525
13,1,7.798638798031031,7.847366258750704,8.650361564485685,11.158069190222548,4.37218014847511,117.3092500196481
14,1,7.358219137681135,8.367207852899737,11.222451964304284,10.471399958213397,7.6377825949371125,114.82088568229189
15,4,8.02372276833719,8.043603526246969,7.364518497739142,11.407515277353514,3.9240278180004147,142.27381023171745
16,2,6.6708189421597615,8.56739111323281,9.685702556312405,10.054889209813457,7.040081991111272,24.18516262512648
17,4,7.949301416415442,6.961784401432129,8.832616498681919,8.413241924375784,6.55159481318568,-70.71292446225954
18,3,7.020984981534855,7.0284047123398485,9.886402265695466,11.095642709058275,4.412808851602636,64.21810430016647
19,5,5.750074259881671,7.254694012353833,9.300050551786443,9.557695392436047,6.4856307280616186,-93.585453802808
20,4,6.881144324371668,7.37519081147592,9.3773052395466,10.763860373717401,7.466163346491056,104.36587443038246
21,5,7.3455842868896974,8.701464304782624,10.441090091562103,8.255340702487766,4.176840491120725,-169.80312359969344
